ORDERDATE,QTR_ID,MONTH_ID,YEAR_ID,date_id
2/10/2005 0:00,1,2,2005,184
4/22/2005 0:00,2,4,2005,185
2/17/2003 0:00,1,2,2003,186
6/16/2003 0:00,2,6,2003,187
11/27/2003 0:00,4,11,2003,188
5/11/2004 0:00,2,5,2004,189
6/24/2004 0:00,2,6,2004,190
8/21/2004 0:00,3,8,2004,191
9/15/2004 0:00,3,9,2004,192
11/10/2004 0:00,4,11,2004,193
11/22/2004 0:00,4,11,2004,194
12/3/2004 0:00,4,12,2004,195
3/1/2005 0:00,1,3,2005,196
3/30/2005 0:00,1,3,2005,197
5/10/2005 0:00,2,5,2005,198
1/6/2003 0:00,1,1,2003,199
1/26/2004 0:00,1,1,2004,200
11/25/2004 0:00,4,11,2004,201
5/29/2005 0:00,2,5,2005,202
1/10/2005 0:00,1,1,2005,203
10/6/2004 0:00,4,10,2004,204
2/22/2005 0:00,1,2,2005,205
1/9/2003 0:00,1,1,2003,206
4/26/2004 0:00,2,4,2004,207
4/23/2005 0:00,2,4,2005,208
6/27/2003 0:00,2,6,2003,209
4/2/2004 0:00,2,4,2004,210
9/16/2004 0:00,3,9,2004,211
12/4/2004 0:00,4,12,2004,212
4/3/2005 0:00,2,4,2005,213
6/4/2004 0:00,2,6,2004,214
6/14/2004 0:00,2,6,2004,215
7/16/2004 0:00,3,7,2004,216
3/10/2005 0:00,1,3,2005,217
6/6/2003 0:00,2,6,2003,218
11/7/2003 0:00,4,11,2003,219
2/18/2004 0:00,1,2,2004,220
3/20/2004 0:00,1,3,2004,221
3/15/2005 0:00,1,3,2005,222
11/9/2004 0:00,4,11,2004,223
5/26/2004 0:00,2,5,2004,224
7/2/2004 0:00,3,7,2004,225
9/7/2004 0:00,3,9,2004,226
11/16/2004 0:00,4,11,2004,227
12/7/2004 0:00,4,12,2004,228
9/3/2003 0:00,3,9,2003,229
6/30/2004 0:00,2,6,2004,230
8/28/2004 0:00,3,8,2004,231
5/8/2004 0:00,2,5,2004,232
11/12/2004 0:00,4,11,2004,233
5/9/2005 0:00,2,5,2005,234
9/25/2003 0:00,3,9,2003,235
1/22/2004 0:00,1,1,2004,236
10/29/2004 0:00,4,10,2004,237
7/7/2004 0:00,3,7,2004,238
8/9/2004 0:00,3,8,2004,239
11/19/2003 0:00,4,11,2003,240
1/19/2005 0:00,1,1,2005,241
10/2/2003 0:00,4,10,2003,242
3/29/2004 0:00,1,3,2004,243
2/28/2005 0:00,1,2,2005,244
4/20/2004 0:00,2,4,2004,245
3/2/2005 0:00,1,3,2005,246
4/11/2003 0:00,2,4,2003,247
8/13/2003 0:00,3,8,2003,248
10/8/2003 0:00,4,10,2003,249
3/28/2005 0:00,1,3,2005,250
4/21/2003 0:00,2,4,2003,251
